Product Name,Price,Rating,Rating Count,Average_price
Levi'sÂ® Logo Classic T-Shirt,$24.50,4.3,422,24.5
Levi'sÂ® Sportswear Logo Graphic T-Shirt,Temporary Price Range is | $14.99 - $24.50 | Original Price was | $24.50,4.2,127,19.75
Classic Western Standard Fit Shirt,Temporary Price is | $48.65 | Original Price was | $69.50,4.4,466,59.08
Barstow Western Denim Shirt,Sale Price Range is | $53.98 - $79.50 | Original Price was | $79.50,4.3,369,66.74
Housemark Polo Shirt,Temporary Price is | $19.99 | Original Price was | $39.50,4.6,173,29.75
Classic Pocket T-Shirt,Temporary Price is | $20.65 | Original Price was | $29.50,4,77,25.08
The Essential T-Shirt,$29.50,4,26,29.5
Classic Western Standard Fit Shirt,Sale Price Range is | $34.98 - $55.98 | Original Price was | $69.50,4.3,485,45.48
Red Tabâ„¢ Vintage T-Shirt,$29.50,4.3,125,29.5
Levi'sÂ® Vote Relaxed Fit T-Shirt,Sale Price is | $18.98 | Original Price was | $29.50,5,6,24.24
Short Sleeve Sunset One Pocket Shirt,Temporary Price is | $38.15 | Original Price was | $54.50,4.3,75,46.33
Long Sleeve Thermal Henley,Sale Price Range is | $30.98 - $31.15 | Original Price was | $44.50,4.6,95,31.07
Classic Western Shirt (Big),Temporary Price is | $48.65 | Original Price was | $69.50,4.4,35,59.08
Short Sleeve Classic One Pocket Shirt,Sale Price Range is | $27.98 - $40.98 | Original Price Range was | $49.50 - $54.50,4.2,70,34.48
Graphic Crewneck Tee Shirt,Sale Price is | $17.98 | Original Price was | $24.50,4.5,6,21.24
Levi'sÂ® Logo Relaxed Fit Short Sleeve T-Shirt,Sale Price is | $14.98 | Original Price was | $29.50,2.6,9,22.24
Sunset One Pocket Button-Up Shirt,$69.50,3.5,37,69.5
Housemark Polo Shirt,Sale Price Range is | $21.98 - $30.98 | Original Price was | $39.50,4.6,172,26.48
Barstow Western Denim Shirt,Sale Price Range is | $54.98 - $62.98 | Original Price was | $79.50,3.9,77,58.98
Easy Relaxed Pocket T-Shirt,Sale Price Range is | $23.98 - $26.98 | Original Price was | $29.50,4,21,25.48
Classic Graphic T-Shirt,Temporary Price is | $14.99 | Original Price was | $24.50,4.4,38,19.75
Relaxed Fit Short Sleeve T-Shirt,Sale Price is | $19.98 | Original Price was | $26.50,4,9,23.24
Standard Polo Shirt,Sale Price Range is | $22.98 - $30.98 | Original Price was | $44.50,4.3,27,26.98
Gold Tabâ„¢ T-Shirt,Sale Price is | $18.98 | Original Price was | $29.50,4.5,21,24.24
Classic Graphic T-Shirt,Sale Price is | $15.98 | Original Price was | $24.50,4,6,20.24
Relaxed Fit Western Shirt,Sale Price Range is | $39.98 - $62.98 | Original Price was | $79.50,4,151,51.48
The Essential T-Shirt,Sale Price Range is | $14.98 - $21.98 | Original Price was | $29.50,3.8,28,18.48
Classic Worker Shirt,Sale Price is | $54.98 | Original Price was | $69.50,4.6,30,62.24
Classic Pocket T-Shirt,Sale Price Range is | $14.98 - $22.98 | Original Price was | $29.50,4.1,87,18.98
Vintage Fit Graphic T-Shirt,$29.50,4.5,8,29.5
Authentic Button-Down Shirt,Sale Price Range is | $34.98 - $50.98 | Original Price was | $69.50,4.5,97,42.98
Relaxed Fit Short Sleeve Graphic T-Shirt,Temporary Price is | $14.99 | Original Price was | $24.50,5,1,19.75
Short Sleeve Classic Standard Fit Shirt,Sale Price is | $39.98 | Original Price was | $54.50,4,4,47.24
Mineral Wash Red Tabâ„¢ Vintage T-Shirt,Sale Price Range is | $20.98 - $22.98 | Original Price was | $29.50,4.4,93,21.98
Classic Graphic T-Shirt,Temporary Price is | $14.99 | Original Price was | $24.50,4,5,19.75
Microfleece Bonded Sherpa Shirt,Sale Price is | $54.98 | Original Price was | $69.50,4.6,14,62.24
